ball_id, ball_group, x_position, y_position, radius
263, None, -0.0219446, 0.0235148, 0.000700949
264, None, 0.0207912, 0.0269805, 0.000628122
265, None, 0.0126009, -0.023914, 0.000744524
266, top_grip, 0.00176868, 0.0494325, 0.000590655
267, None, 0.0210299, 0.0135691, 0.000706966
268, None, -0.0110336, -0.0299992, 0.000659841
269, None, -0.0114336, 0.0129842, 0.00068959
270, None, 0.00718385, -0.0255448, 0.000722776
271, None, -0.0119139, -0.0264382, 0.000599637
272, None, -0.0033219, 0.0270994, 0.000714007
273, None, 0.0152483, -0.0205976, 0.00063691
274, None, 0.00570416, 0.0168311, 0.000599799
275, None, 0.0155013, 0.0437408, 0.000701975
276, None, -0.0077409, 0.0395146, 0.000531324
277, None, -0.0197947, -0.00122396, 0.000580283
278, None, 0.0102206, 0.0347246, 0.000508283
279, None, -0.0111372, 0.0303937, 0.000689426
280, None, 0.000233503, -0.0161576, 0.000734476
281, None, 0.00782528, 0.0138838, 0.000723057
282, None, -0.00370807, -0.00505327, 0.00054446
283, None, -0.0235358, -0.0470374, 0.000515771
284, None, -0.00250916, -0.0299588, 0.000564164
285, None, 0.0158291, 0.0125276, 0.000626221
286, None, 0.0103074, -0.0378124, 0.000677922
287, None, 0.0119698, 0.001443, 0.000701343
288, None, -0.00387653, -0.0191604, 0.000547113
289, None, 0.00205705, 0.00567322, 0.000731574
290, None, 0.0217191, -0.0310123, 0.000655788
291, None, -0.0167984, -0.0468242, 0.000721121
292, None, 0.0135172, -0.0118213, 0.000539231
293, None, -0.0192288, 0.00490232, 0.000677
294, None, 0.0159395, 0.0213163, 0.000682935
295, None, -0.0184213, -0.00997402, 0.000683585
296, None, 0.0135481, 0.0362606, 0.000678071
297, None, 0.00865448, 0.00956566, 0.000535911
298, None, 0.00205835, 0.00424399, 0.000720911
299, None, -0.00935463, 0.0328452, 0.000517058
300, None, -0.0127715, -0.0287029, 0.000512414
301, None, 0.00501839, -0.0197516, 0.000575657
302, None, -0.00716901, 0.0466698, 0.000667112
303, None, 0.0129236, 0.0485014, 0.000627798
304, None, 0.0187449, -0.0360467, 0.000742154
305, None, -0.0208667, -0.000681102, 0.000640556
306, None, 0.0152278, -0.0242367, 0.000674183
307, None, 0.0132, 0.00152071, 0.000533273
308, None, 0.0127691, 0.00250592, 0.000554105
309, None, 0.0188599, 0.0305447, 0.000514969
310, None, -0.00524425, -0.0269681, 0.000656974
311, None, -0.0231209, 0.017519, 0.000715181
312, None, 0.00984824, -0.0178994, 0.000507272
313, None, 0.0063753, -0.0429763, 0.000586009
314, None, -0.0229026, 0.0150883, 0.00073805
315, None, -0.0138673, -0.0418118, 0.000668322
316, None, -0.0189202, 0.0099208, 0.000570982
317, None, -0.0230487, -0.0480215, 0.000502968
318, None, -0.000597311, 0.0384718, 0.000599576
319, None, -0.0176049, -0.0168765, 0.000736573
320, None, 0.0162626, 0.0341022, 0.000695304
321, None, 0.0181267, 0.0222603, 0.000577422
322, None, -0.0186394, 0.0127892, 0.000651076
323, None, 0.0191262, 0.00484961, 0.000545131
324, None, 0.00341219, 0.025626, 0.000697844
325, None, -0.00647897, -0.0471988, 0.000577847
326, None, -0.0140275, 0.0459609, 0.000749844
327, None, -0.0177111, 0.00671301, 0.000632286
328, None, 0.00752707, -0.00704746, 0.000696034
329, None, -0.019586, 0.0204719, 0.00060566
330, None, -0.0233752, 0.00299662, 0.000605822
331, None, 0.0196879, 0.0298152, 0.000610384
332, None, -0.0222984, 0.002586, 0.000564883
333, None, -0.0198885, 0.0378273, 0.000684407
334, None, -0.00379159, 0.0119323, 0.000609172
335, None, 0.0115798, 0.0206578, 0.000742087
336, None, 0.0187313, -0.0200072, 0.000502189
337, None, -0.0181678, 0.0237342, 0.000677327
